ciudad,fecha,n_cub,n_gra,n_fog,inso,n_des,n_nub,evap,n_llu,n_tor,n_nie
Cordoba,2004-9,3.0,0.0,0.0,9.1,11.0,16.0,2426.0,2.0,1.0,0.0
Cordoba,2004-10,7.0,0.0,3.0,6.3,8.0,16.0,1265.0,13.0,1.0,0.0
Cordoba,2004-11,3.0,0.0,1.0,7.1,14.0,13.0,710.0,4.0,0.0,0.0
Cordoba,2004-12,4.0,0.0,8.0,5.9,8.0,19.0,506.0,4.0,0.0,0.0
Cordoba,2004-13,67.0,0.0,20.0,8.1,129.0,170.0,18365.0,67.0,8.0,0.0
Cordoba,2005-1,1.0,0.0,0.0,8.6,23.0,7.0,546.0,0.0,0.0,0.0
Cordoba,2005-2,4.0,0.0,0.0,7.8,16.0,8.0,884.0,7.0,1.0,0.0
Cordoba,2005-3,12.0,0.0,0.0,6.4,3.0,16.0,1266.0,11.0,0.0,0.0
Cordoba,2005-4,5.0,0.0,0.0,9.4,9.0,16.0,1736.0,3.0,2.0,0.0
Cordoba,2005-5,5.0,0.0,0.0,10.0,8.0,18.0,2586.0,6.0,1.0,0.0
Cordoba,2005-6,0.0,0.0,0.0,11.5,12.0,18.0,3527.0,1.0,0.0,0.0
Cordoba,2005-7,1.0,0.0,0.0,12.2,22.0,8.0,3844.0,0.0,0.0,0.0
Cordoba,2005-8,1.0,0.0,0.0,11.1,20.0,10.0,3568.0,1.0,0.0,0.0
Cordoba,2005-9,0.0,0.0,0.0,9.7,15.0,15.0,2515.0,3.0,1.0,0.0
Cordoba,2005-10,10.0,0.0,5.0,6.2,8.0,13.0,1171.0,11.0,2.0,0.0
Cordoba,2005-11,4.0,0.0,2.0,6.3,6.0,20.0,849.0,7.0,0.0,0.0
Cordoba,2005-12,7.0,0.0,6.0,5.8,14.0,10.0,667.0,8.0,0.0,0.0
Cordoba,2005-13,50.0,0.0,13.0,8.8,156.0,159.0,23159.0,58.0,7.0,0.0
Cordoba,2006-1,11.0,0.0,6.0,5.7,10.0,10.0,407.0,8.0,0.0,2.0
Cordoba,2006-2,9.0,0.0,4.0,5.7,6.0,13.0,477.0,10.0,1.0,0.0
Cordoba,2006-3,11.0,0.0,2.0,6.2,8.0,12.0,929.0,8.0,0.0,0.0
Cordoba,2006-4,5.0,0.0,1.0,7.9,2.0,23.0,1241.0,8.0,1.0,0.0
Cordoba,2006-5,4.0,0.0,0.0,8.9,5.0,22.0,1934.0,5.0,0.0,0.0
Cordoba,2006-6,1.0,0.0,0.0,11.0,13.0,16.0,2735.0,2.0,1.0,0.0
Cordoba,2006-7,2.0,0.0,0.0,11.3,22.0,7.0,3961.0,1.0,1.0,0.0
Cordoba,2006-8,0.0,0.0,0.0,11.3,22.0,9.0,3377.0,2.0,0.0,0.0
Cordoba,2006-9,3.0,0.0,0.0,8.2,6.0,21.0,2434.0,6.0,2.0,0.0
Cordoba,2006-10,10.0,0.0,0.0,5.6,5.0,16.0,1380.0,12.0,1.0,0.0
Cordoba,2006-11,10.0,0.0,2.0,5.0,6.0,14.0,559.0,14.0,0.0,0.0
Cordoba,2006-12,3.0,0.0,0.0,6.4,13.0,15.0,440.0,5.0,0.0,0.0
Cordoba,2006-13,69.0,0.0,15.0,7.8,118.0,178.0,19874.0,81.0,7.0,2.0
Cordoba,2007-1,3.0,0.0,2.0,6.0,8.0,20.0,403.0,8.0,0.0,1.0
Cordoba,2007-2,13.0,0.0,5.0,3.9,0.0,15.0,526.0,17.0,0.0,0.0
Cordoba,2007-3,3.0,0.0,0.0,7.9,8.0,20.0,1545.0,6.0,0.0,0.0
Cordoba,2007-4,14.0,1.0,0.0,6.4,3.0,13.0,1244.0,14.0,5.0,0.0
Cordoba,2007-5,6.0,1.0,2.0,9.2,12.0,13.0,2015.0,10.0,2.0,0.0
Cordoba,2007-6,3.0,0.0,0.0,10.7,13.0,14.0,2902.0,5.0,0.0,0.0
Cordoba,2007-7,0.0,0.0,0.0,12.6,29.0,2.0,4253.0,0.0,0.0,0.0
Cordoba,2007-8,2.0,0.0,0.0,10.8,23.0,6.0,3622.0,2.0,1.0,0.0
Cordoba,2007-9,4.0,0.0,0.0,7.6,9.0,17.0,2177.0,6.0,5.0,0.0
Cordoba,2007-10,5.0,0.0,0.0,7.8,13.0,13.0,1393.0,6.0,4.0,0.0
Cordoba,2007-11,3.0,0.0,0.0,7.4,16.0,11.0,943.0,5.0,1.0,0.0
Cordoba,2007-12,6.0,0.0,5.0,5.9,13.0,12.0,514.0,6.0,0.0,0.0
Cordoba,2007-13,62.0,2.0,14.0,8.0,147.0,156.0,21537.0,85.0,18.0,1.0
Cordoba,2008-1,9.0,0.0,3.0,5.5,11.0,11.0,470.0,11.0,0.0,0.0
Cordoba,2008-2,8.0,0.0,3.0,6.2,6.0,15.0,701.0,9.0,1.0,0.0
Cordoba,2008-3,6.0,0.0,0.0,8.0,10.0,15.0,1514.0,3.0,1.0,0.0
Cordoba,2008-4,8.0,1.0,0.0,8.4,9.0,13.0,1545.0,9.0,1.0,0.0
Cordoba,2008-5,13.0,0.0,0.0,7.5,1.0,17.0,1457.0,16.0,3.0,0.0
Cordoba,2008-6,0.0,0.0,0.0,12.1,17.0,13.0,2725.0,1.0,0.0,0.0
Cordoba,2008-7,1.0,0.0,0.0,12.2,18.0,12.0,3432.0,1.0,0.0,0.0
Cordoba,2008-8,0.0,0.0,0.0,11.6,21.0,10.0,3260.0,0.0,0.0,0.0
Cordoba,2008-9,6.0,0.0,0.0,7.5,4.0,20.0,1720.0,9.0,3.0,0.0
Cordoba,2008-10,9.0,0.0,0.0,6.2,8.0,14.0,1090.0,15.0,1.0,0.0
Cordoba,2008-11,3.0,0.0,2.0,6.5,11.0,16.0,615.0,7.0,1.0,0.0
Cordoba,2008-12,10.0,0.0,5.0,3.3,9.0,12.0,370.0,13.0,0.0,0.0
Cordoba,2008-13,73.0,1.0,13.0,7.9,125.0,168.0,18899.0,94.0,11.0,0.0
Cordoba,2009-1,13.0,0.0,6.0,4.0,5.0,13.0,431.0,17.0,0.0,0.0
Cordoba,2009-2,8.0,0.0,1.0,6.5,11.0,9.0,627.0,9.0,0.0,0.0
